trip_id,waktu,latitude,longitude,kecepatan_kmh,jarak_km
1,2025-03-03 08:03:00,-6.121562,106.893611,32.7,0.27262
1,2025-03-03 08:03:30,-6.11939,106.893472,29.0,0.242
1,2025-03-03 08:04:00,-6.116992,106.893237,32.5,0.27103
1,2025-03-03 08:04:30,-6.118709,106.893113,29.5,0.24563
1,2025-03-03 08:05:00,-6.120934,106.893202,29.7,0.24763
1,2025-03-03 08:05:30,-6.123171,106.89329,29.9,0.24894
1,2025-03-03 08:06:00,-6.125484,106.893382,30.9,0.25734
1,2025-03-03 08:06:30,-6.127952,106.89348,33.0,0.27469
1,2025-03-03 08:07:00,-6.129868,106.893438,25.8,0.21489
1,2025-03-03 08:07:30,-6.131045,106.892247,26.7,0.22234
1,2025-03-03 08:08:00,-6.130169,106.890078,32.5,0.2706
1,2025-03-03 08:08:30,-6.129152,106.888482,25.2,0.20962
1,2025-03-03 08:09:00,-6.127815,106.886384,33.1,0.27547
1,2025-03-03 08:09:30,-6.127124,106.884633,25.0,0.20853
1,2025-03-03 08:10:00,-6.126435,106.882817,25.8,0.21487
1,2025-03-03 08:10:30,-6.12597,106.880587,30.3,0.25231
1,2025-03-03 08:11:00,-6.125511,106.878169,32.7,0.27224
1,2025-03-03 08:11:30,-6.125154,106.87629,25.4,0.21145
1,2025-03-03 08:12:00,-6.124747,106.87415,28.9,0.24086
1,2025-03-03 08:12:30,-6.124371,106.872172,26.7,0.22267
1,2025-03-03 08:13:00,-6.124039,106.87042,23.7,0.19716
1,2025-03-03 08:13:30,-6.123621,106.868223,29.7,0.24738
1,2025-03-03 08:14:00,-6.123195,106.865978,30.3,0.25262
1,2025-03-03 08:14:30,-6.122761,106.864084,25.8,0.215
1,2025-03-03 08:15:00,-6.122336,106.862325,24.0,0.20008
1,2025-03-03 08:15:30,-6.122308,106.860189,29.2,0.24314
1,2025-03-03 08:16:00,-6.122869,106.858276,26.5,0.2211
1,2025-03-03 08:16:30,-6.123819,106.856079,31.8,0.2649
1,2025-03-03 08:17:00,-6.124701,106.854038,29.5,0.24604
1,2025-03-03 08:17:30,-6.125582,106.852002,29.5,0.24549
1,2025-03-03 08:18:00,-6.126116,106.849945,28.2,0.23503
1,2025-03-03 08:18:30,-6.12657,106.84819,24.1,0.20052
1,2025-03-03 08:19:00,-6.127161,106.845904,31.3,0.26114
1,2025-03-03 08:19:30,-6.127681,106.843891,27.6,0.2299
1,2025-03-03 08:20:00,-6.128202,106.841878,27.6,0.23001
1,2025-03-03 08:20:30,-6.128704,106.839583,31.2,0.25993
1,2025-03-03 08:21:00,-6.129116,106.837329,30.4,0.25342
1,2025-03-03 08:21:30,-6.12954,106.835014,31.2,0.26025
1,2025-03-03 08:22:00,-6.129945,106.832799,29.9,0.24898
1,2025-03-03 08:22:30,-6.130275,106.830447,31.5,0.26273
1,2025-03-03 08:23:00,-6.13052,106.828256,29.3,0.24376
1,2025-03-03 08:23:30,-6.130753,106.826177,27.8,0.23135
1,2025-03-03 08:24:00,-6.131129,106.824097,28.1,0.23397
1,2025-03-03 08:24:30,-6.131526,106.822262,24.9,0.20767
1,2025-03-03 08:25:00,-6.131739,106.820487,23.9,0.19915
1,2025-03-03 08:25:30,-6.131514,106.818732,23.8,0.19866
1,2025-03-03 08:26:00,-6.130475,106.816704,30.3,0.25219
1,2025-03-03 08:26:30,-6.129623,106.815013,25.2,0.20991
1,2025-03-03 08:27:00,-6.129716,106.812772,29.8,0.24804
1,2025-03-03 08:27:30,-6.130097,106.810918,25.2,0.20987
1,2025-03-03 08:28:00,-6.130669,106.808574,32.0,0.26687
1,2025-03-03 08:28:30,-6.131258,106.806159,33.0,0.27488
1,2025-03-03 08:29:00,-6.131586,106.804278,25.4,0.21146
1,2025-03-03 08:29:30,-6.13181,106.802528,23.4,0.19514
1,2025-03-03 08:30:00,-6.132063,106.800386,28.6,0.23852
1,2025-03-03 08:30:30,-6.132114,106.798541,24.5,0.20412
1,2025-03-03 08:31:00,-6.132178,106.796202,31.0,0.25873
1,2025-03-03 08:31:30,-6.132241,106.79394,30.0,0.25011
1,2025-03-03 08:32:00,-6.132301,106.791739,29.2,0.24345
1,2025-03-03 08:32:30,-6.132054,106.789635,28.2,0.23539
1,2025-03-03 08:33:00,-6.131596,106.787196,32.9,0.27447
1,2025-03-03 08:33:30,-6.132111,106.785385,28.2,0.23467
1,2025-03-03 08:34:00,-6.134075,106.785256,30.0,0.2497
1,2025-03-03 08:34:30,-6.135867,106.785764,24.8,0.20705
1,2025-03-03 08:35:00,-6.13756,106.786244,23.5,0.19556
1,2025-03-03 08:35:30,-6.139803,106.787108,32.1,0.26722
1,2025-03-03 08:36:00,-6.141793,106.788107,29.7,0.24766
1,2025-03-03 08:36:30,-6.143676,106.789113,28.4,0.23701
1,2025-03-03 08:37:00,-6.145467,106.790071,27.1,0.22559
1,2025-03-03 08:37:30,-6.147397,106.791102,29.2,0.24301
1,2025-03-03 08:38:00,-6.149106,106.792015,25.8,0.2152
1,2025-03-03 08:38:30,-6.150669,106.792851,23.6,0.19683
1,2025-03-03 08:39:00,-6.15299,106.793679,32.9,0.27427
1,2025-03-03 08:39:30,-6.155192,106.793225,30.9,0.25743
1,2025-03-03 08:40:00,-6.157037,106.792478,26.6,0.22145
1,2025-03-03 08:40:30,-6.159069,106.791589,29.6,0.24639
1,2025-03-03 08:41:00,-6.161268,106.790626,32.0,0.26672
1,2025-03-03 08:41:30,-6.163182,106.789788,27.8,0.23204
1,2025-03-03 08:42:00,-6.164873,106.789048,24.6,0.20511
1,2025-03-03 08:42:30,-6.166936,106.788292,29.3,0.24443
1,2025-03-03 08:43:00,-6.168937,106.78812,27.0,0.22496
1,2025-03-03 08:43:30,-6.17086,106.788553,26.6,0.22166
1,2025-03-03 08:44:00,-6.172893,106.789833,32.8,0.27331
1,2025-03-03 08:44:30,-6.174273,106.791154,25.4,0.21188
1,2025-03-03 08:45:00,-6.175928,106.792737,30.5,0.25395
1,2025-03-03 08:45:30,-6.177305,106.794056,25.4,0.2115
1,2025-03-03 08:46:00,-6.178715,106.795147,24.9,0.20714
1,2025-03-03 08:46:30,-6.180841,106.793984,33.0,0.27487
1,2025-03-03 08:47:00,-6.18258,106.792711,28.7,0.23921
1,2025-03-03 08:47:30,-6.184021,106.791379,26.7,0.22235
1,2025-03-03 08:48:00,-6.18479,106.789076,32.4,0.26993
1,2025-03-03 08:48:30,-6.184985,106.786689,31.8,0.2649
1,2025-03-03 08:49:00,-6.185125,106.78475,25.8,0.21494
1,2025-03-03 08:49:30,-6.185295,106.7829,24.7,0.20581
1,2025-03-03 08:50:00,-6.185956,106.780725,30.2,0.25146
1,2025-03-03 08:50:30,-6.186489,106.77899,24.1,0.20078
1,2025-03-03 08:51:00,-6.187266,106.776974,28.7,0.23895
1,2025-03-03 08:51:30,-6.187964,106.775162,25.8,0.2149
1,2025-03-03 08:52:00,-6.188631,106.773431,24.6,0.20517
1,2025-03-03 08:52:30,-6.189236,106.771286,29.6,0.24673
1,2025-03-03 08:53:00,-6.189716,106.769465,25.0,0.20822
1,2025-03-03 08:53:30,-6.189905,106.767443,27.0,0.22506
1,2025-03-03 08:54:00,-6.190022,106.765573,24.9,0.2072
1,2025-03-03 08:54:30,-6.190161,106.763358,29.4,0.2453
1,2025-03-03 08:55:00,-6.190294,106.761225,28.4,0.23634
1,2025-03-03 08:55:30,-6.19044,106.758896,31.0,0.25797
1,2025-03-03 08:56:00,-6.190587,106.756543,31.3,0.26061
1,2025-03-03 08:56:30,-6.190724,106.754353,29.1,0.24256
1,2025-03-03 08:57:00,-6.190854,106.752275,27.6,0.23013
1,2025-03-03 08:57:30,-6.190982,106.75023,27.2,0.22655
1,2025-03-03 08:58:00,-6.191104,106.748274,26.0,0.2166
1,2025-03-03 08:58:30,-6.191224,106.74636,25.4,0.21203
1,2025-03-03 08:59:00,-6.191356,106.744249,28.1,0.23385
1,2025-03-03 08:59:30,-6.191422,106.741993,29.9,0.24957
1,2025-03-03 09:00:00,-6.191428,106.739712,30.3,0.25222
1,2025-03-03 09:00:30,-6.191437,106.736616,41.1,0.34226
1,2025-03-03 09:01:00,-6.191444,106.734242,31.5,0.26239
1,2025-03-03 09:01:30,-6.191385,106.731699,33.8,0.28162
1,2025-03-03 09:02:00,-6.191076,106.729074,35.1,0.29217
1,2025-03-03 09:02:30,-6.190729,106.726128,39.4,0.32794
1,2025-03-03 09:03:00,-6.190739,106.723851,30.3,0.25263
1,2025-03-03 09:03:30,-6.191284,106.721294,34.8,0.29026
1,2025-03-03 09:04:00,-6.192188,106.718928,33.7,0.28055
1,2025-03-03 09:04:30,-6.193779,106.716523,38.4,0.31983
1,2025-03-03 09:05:00,-6.195559,106.71425,38.4,0.31991
1,2025-03-03 09:05:30,-6.196938,106.71249,29.7,0.24771
1,2025-03-03 09:06:00,-6.198753,106.710173,39.1,0.32608
1,2025-03-03 09:06:30,-6.200379,106.708097,35.1,0.29218
1,2025-03-03 09:07:00,-6.202183,106.705796,38.9,0.32397
1,2025-03-03 09:07:30,-6.203629,106.703949,31.2,0.25985
1,2025-03-03 09:08:00,-6.205184,106.701964,33.5,0.2794
1,2025-03-03 09:08:30,-6.206772,106.699793,35.8,0.29806
1,2025-03-03 09:09:00,-6.208304,106.697642,35.1,0.29251
1,2025-03-03 09:09:30,-6.209466,106.695494,32.6,0.27194
1,2025-03-03 09:10:00,-6.210608,106.692694,40.2,0.33471
1,2025-03-03 09:10:30,-6.211404,106.689816,39.6,0.33028
1,2025-03-03 09:11:00,-6.212035,106.687534,31.4,0.26182
1,2025-03-03 09:11:30,-6.212836,106.684634,39.9,0.33267
1,2025-03-03 09:12:00,-6.213671,106.681616,41.6,0.34634
1,2025-03-03 09:12:30,-6.214506,106.678596,41.6,0.3465
1,2025-03-03 09:13:00,-6.215263,106.675856,37.7,0.31432
1,2025-03-03 09:13:30,-6.21597,106.673299,35.2,0.29338
1,2025-03-03 09:14:00,-6.216668,106.670776,34.7,0.28954
1,2025-03-03 09:14:30,-6.217492,106.667797,41.0,0.34182
1,2025-03-03 09:15:00,-6.218105,106.664929,39.0,0.3249
1,2025-03-03 09:15:30,-6.218539,106.661892,40.7,0.33922
1,2025-03-03 09:16:00,-6.218892,106.65941,33.3,0.27709
1,2025-03-03 09:16:30,-6.219216,106.657141,30.4,0.25345
1,2025-03-03 09:17:00,-6.219614,106.654348,37.4,0.31188
1,2025-03-03 09:17:30,-6.220004,106.651617,36.6,0.30495
1,2025-03-03 09:18:00,-6.220345,106.649225,32.1,0.2671
1,2025-03-03 09:18:30,-6.220689,106.646809,32.4,0.26983
1,2025-03-03 09:19:00,-6.221113,106.643838,39.8,0.3318
1,2025-03-03 09:19:30,-6.221537,106.640865,39.8,0.33195
1,2025-03-03 09:20:00,-6.221948,106.637983,38.6,0.32189
1,2025-03-03 09:20:30,-6.222322,106.635359,35.2,0.29304
1,2025-03-03 09:21:00,-6.222666,106.632944,32.4,0.26959
1,2025-03-03 09:21:30,-6.223094,106.629945,40.2,0.33492
1,2025-03-03 09:22:00,-6.223412,106.627715,29.9,0.24908
1,2025-03-03 09:22:30,-6.223802,106.624977,36.7,0.30572
1,2025-03-03 09:23:00,-6.22415,106.622533,32.7,0.27289
1,2025-03-03 09:23:30,-6.224466,106.620318,29.7,0.24739
1,2025-03-03 09:24:00,-6.224796,106.617318,40.0,0.33371
1,2025-03-03 09:24:30,-6.225041,106.614723,34.6,0.28819
1,2025-03-03 09:25:00,-6.224951,106.61241,30.8,0.25671
1,2025-03-03 09:25:30,-6.224735,106.610028,31.7,0.26441
1,2025-03-03 09:26:00,-6.224476,106.607185,37.9,0.31561
1,2025-03-03 09:26:30,-6.224268,106.604887,30.6,0.25505
1,2025-03-03 09:27:00,-6.224022,106.602188,35.9,0.29956
1,2025-03-03 09:27:30,-6.223756,106.599257,39.0,0.32539
1,2025-03-03 09:28:00,-6.223542,106.596908,31.3,0.26072
1,2025-03-03 09:28:30,-6.223273,106.593944,39.5,0.32905
1,2025-03-03 09:29:00,-6.223,106.590938,40.0,0.33363
1,2025-03-03 09:29:30,-6.222719,106.587847,41.2,0.34307
1,2025-03-03 09:30:00,-6.222453,106.584921,39.0,0.32487
1,2025-03-03 09:30:30,-6.222197,106.582103,37.5,0.31278
1,2025-03-03 09:31:00,-6.221993,106.579858,29.9,0.2492
1,2025-03-03 09:31:30,-6.22179,106.577622,29.8,0.24818
